PROFILE_ID,REACHED_40_EVENTS,REACHED_80_EVENTS,EVENT_CYCLES_F40,DISTINCT_ARTICLES_F40,PERCENT_GOOGLE_ARTICLES_F40,PERCENT_ARTICLE_CONTENT_F40,AVERAGE_CONTENT_SCORE_F40,DAYS_TO_FORTY_EVENTS
A_ZSgoIBGoM3uBpF2kSF,1,0,6,8,0.250000,1.000000,0.0,70.0
kjKCZ4IB8Tq1gs32qWCB,1,1,4,1,0.000000,0.500000,0.0,30.0
Ji-sNYQBwWEOklUHtLOe,1,0,2,4,0.000000,0.666667,39.83748339857447,7.0
vvCZE4QBwWEOklUHM3Ep,1,0,4,2,0.500000,1.000000,0.0,42.0
VeHWX4IB8Tq1gs32ty7z,1,0,8,2,0.000000,1.000000,0.0,112.0
Zbv0fIIBGoM3uBpFoWri,1,1,3,6,0.166667,1.000000,0.0,51.0
FXx9hIMB28LFeUkXNA3f,1,0,4,3,0.666667,0.230769,89.50325311053476,30.0
owbe0IMBGoM3uBpFp3RW,1,0,1,4,0.000000,0.250000,133.23977883471503,3.0
KDoyyIIBGoM3uBpFEzKM,1,0,4,4,0.750000,0.800000,38.99152421833018,22.0
ZRK8oYIBGoM3uBpFalSc,1,1,6,6,0.333333,1.000000,0.0,94.0
o-tLgIIBGoM3uBpF8SOa,1,0,7,7,1.000000,1.000000,0.0,92.0
l9msfoIBGoM3uBpFvDOY,1,0,7,10,0.300000,0.909091,0.0,46.0
Q2udVoQBwWEOklUHQAOn,1,1,2,5,0.000000,0.384615,84.53812000606418,6.0
m5WJTIQBEEdskq5q7TNY,1,0,1,8,0.000000,0.800000,51.117405974291074,0.0
gHE8W4QBwWEOklUH3sFq,1,0,4,3,0.000000,1.000000,0.0,25.0
RMEQzn8Bale87oUg1JwF,1,1,5,16,0.000000,1.000000,0.0,98.0
ISkGo4IBGoM3uBpFZVjW,1,0,4,4,0.500000,1.000000,0.0,23.0
bJQjioMB28LFeUkXXQ2x,1,1,1,1,1.000000,1.000000,0.0,3.0
k6u8-oMB28LFeUkX5cvc,1,0,1,2,1.000000,0.666667,38.99152421833018,6.0
wLKL_YMB28LFeUkXpORg,1,1,6,10,0.000000,1.000000,0.0,48.0
WN_3foIBGoM3uBpFIlFM,1,1,3,1,0.000000,1.000000,0.0,19.0
PxzTbYIBGoM3uBpF3dH4,1,1,10,6,0.166667,0.666667,579.5164445109292,80.0
wNQLZ4MB28LFeUkXn1pu,1,1,2,6,0.000000,0.750000,116.5658316582117,5.0
S2OpgIMB28LFeUkXZZMz,1,0,7,6,0.333333,0.750000,43.32391579814464,89.0
fj7PaIIB8Tq1gs32ra-y,1,0,4,6,0.833333,1.000000,0.0,123.0
W-JKsoMBGoM3uBpFjTAQ,1,0,5,6,0.666667,1.000000,0.0,67.0
xJ2-jYMB28LFeUkXxbrv,1,1,2,4,0.750000,1.000000,0.0,14.0
wdJHo4MB28LFeUkXMv8n,1,0,2,1,0.000000,1.000000,0.0,13.0
ykdQaYIB8Tq1gs32o_KD,1,1,3,5,0.000000,0.416667,143.16403754659353,29.0
-UbVzIABuqp2E9ofS9Se,1,0,5,2,0.000000,0.285714,177.2158494402666,44.0
ypwgX4AB-TISWGBhUrbv,1,0,2,3,0.000000,0.750000,12.996643709937553,0.0
nkTfxIMB28LFeUkXM4dK,1,0,2,7,0.000000,0.466667,209.58797707629705,6.0
WsHhzX8Bale87oUg_ld_,1,0,7,5,0.800000,0.333333,472.3023108830108,99.0
-PlYx4MBGoM3uBpFhzSD,1,0,1,7,0.000000,0.700000,104.06350055685076,0.0
-1N1z4MBu9aDgDX171ch,1,1,1,0,0.000000,0.000000,0.1046886740079373,0.0
kU9wc4IBGoM3uBpFJQZT,1,0,6,5,0.400000,0.833333,0.0,112.0
ORsndoMB28LFeUkXRyp6,1,0,8,2,0.500000,1.000000,0.0,86.0
YxgYbYIBGoM3uBpFGZyI,1,0,4,2,1.000000,0.500000,26.212109506959088,88.0
EIJBsIABlNqnsgIRcmic,1,0,2,1,0.000000,0.090909,201.786786972316,8.0
zERHjoIBGoM3uBpFOMaA,1,0,6,6,0.000000,1.000000,0.0,48.0
wmuTV4QBwWEOklUH4sqA,1,1,2,4,0.000000,1.000000,0.0,10.0
VZAWnoQBEEdskq5qYfPa,1,1,1,1,0.000000,0.500000,0.0,2.0
RBGo3oEBuqp2E9ofi1Q1,1,0,3,6,0.666667,0.857143,173.29566319257856,21.0
SJK8F4IBUgM-564PX_pJ,1,1,1,1,0.000000,1.000000,0.0,3.0
FxRCbIIBGoM3uBpFuG_z,1,0,6,5,1.000000,0.833333,55.7021774547574,79.0
PG-ukoIBGoM3uBpF8vCa,1,0,11,5,0.000000,1.000000,0.0,127.0
HiqueIMB28LFeUkXxSFA,1,0,5,7,0.714286,1.000000,0.0,54.0
3iEtX4IBPPKlNqPWfT5Z,1,0,6,4,0.000000,1.000000,0.0,105.0
MZhh7oMB28LFeUkXlGQc,1,1,5,6,0.000000,1.000000,0.0,20.0
T2EWzIIBGoM3uBpFhWb1,1,0,7,8,1.000000,1.000000,0.0,79.0
QELJooEBlNqnsgIRmtWy,1,0,3,9,0.000000,0.600000,254.73860908740295,9.0
GMY_4oIB28LFeUkX7tkC,1,0,5,7,0.714286,0.700000,17.61458060206648,52.0
TBnC94IB28LFeUkXgGJg,1,0,3,6,0.000000,1.000000,0.0,54.0
enmTZYQBwWEOklUHheA8,1,1,2,4,0.000000,0.666667,120.78531625023741,11.0
TU1Bz4MB28LFeUkXGeXK,1,0,5,2,0.000000,0.285714,124.67425394021886,39.0
j6Vs0IIB28LFeUkXBy7B,1,1,5,8,0.250000,0.888889,0.0,75.0
cF3S_YMBGoM3uBpFyS2e,1,0,1,1,0.000000,1.000000,0.0,0.0
PR_hdoMB28LFeUkXTFst,1,1,4,3,1.000000,1.000000,0.0,29.0
lRCE3oEBuqp2E9ofxkYV,1,1,2,5,0.800000,0.714286,98.15119504869284,10.0
d074GIMB28LFeUkXBJSM,1,1,2,1,0.000000,0.500000,38.99152421833018,75.0
2iOAZoIB8Tq1gs326iKk,1,0,5,3,1.000000,1.000000,0.0,39.0
joRgB4MB28LFeUkX0l2V,1,0,2,8,0.750000,1.000000,0.0,19.0
HyD3XoIBPPKlNqPWEE94,1,1,2,3,0.000000,0.750000,1052.7711538949147,16.0
TtFnnIIBGoM3uBpF3A2C,1,1,1,8,0.750000,0.888889,0.6540766284756778,9.0
1GC31oMB28LFeUkXNaEz,1,0,4,6,0.000000,1.000000,0.0,29.0
QyTzRYMBGoM3uBpFfxCw,1,0,4,5,0.800000,1.000000,0.0,48.0
pGPVkYIBGoM3uBpF0MaG,1,0,6,8,1.000000,1.000000,0.0,25.0
dp6yHIUBEEdskq5qAU3m,1,0,3,4,0.250000,0.800000,0.0,12.0
rpt8EoUBEEdskq5qbNfF,1,0,1,8,0.125000,1.000000,0.0,3.0
lbOv_YMB28LFeUkXhJJT,1,0,3,3,0.000000,1.000000,0.0,18.0
7dGw6IIB28LFeUkXBxgB,1,1,3,3,0.000000,1.000000,0.0,49.0
zXf0_H8Boj1uvCUbBqjg,1,1,1,2,0.500000,1.000000,0.0,5.0
QB36bYIBGoM3uBpFj_LG,1,1,1,1,0.000000,1.000000,0.0,0.0
Go9zXYMB28LFeUkXXNFv,1,0,6,5,0.800000,1.000000,0.0,82.0
sB--XoIBPPKlNqPW7k-Q,1,0,7,7,0.000000,1.000000,0.0,90.0
Lw-TZIIB8Tq1gs32-GUX,1,0,2,4,0.500000,1.000000,0.0,10.0
sHAbBYMB28LFeUkX-rVB,1,1,1,5,0.000000,0.217391,39.6372940281074,0.0
ApD2lIIBGoM3uBpF8V2i,1,1,2,8,0.000000,0.615385,117.7732789624489,18.0
P1-yp4IBGoM3uBpF_zCf,1,0,4,9,0.777778,0.818182,43.32391579814464,42.0
zKFa84EBuqp2E9ofujPv,1,0,3,10,0.000000,1.000000,0.0,14.0
thy1EoMB28LFeUkXKS_l,1,0,3,7,0.142857,0.538462,104.38442254910173,112.0
IdcSnYIBGoM3uBpFo-vv,1,0,5,3,0.000000,1.000000,0.0,70.0
wypGMoQBwWEOklUHpm_l,1,0,1,1,1.000000,1.000000,0.0,4.0
ZiOSboIBGoM3uBpFT7v7,1,0,4,3,0.666667,0.750000,0.0,38.0
R7OU_YMB28LFeUkXkxNj,1,1,7,9,0.000000,0.750000,98.68910265098677,63.0
XxnF94IB28LFeUkXfWxR,1,0,7,2,0.000000,0.666667,0.0,97.0
mJ0RCoMB28LFeUkXyXEH,1,0,6,4,1.000000,0.800000,0.00011379203696514923,58.0
9m_HkIAB2j5j5flsQ-qN,1,0,6,13,0.461538,0.764706,261.4863630873993,56.0
rLOW_YMB28LFeUkXSxu4,1,1,7,7,0.571429,0.777778,38.99152421833018,79.0
bTyaaIIB8Tq1gs32ICPw,1,1,2,6,0.166667,1.000000,0.0,7.0
lbf9hYQBwWEOklUHYLHQ,1,0,1,1,0.000000,1.000000,0.0,7.0
_FG_aYIB8Tq1gs32KAJr,1,0,10,5,0.000000,0.714286,668.7299216837752,91.0
8zg5aIIB8Tq1gs32qsjG,1,0,4,6,0.000000,0.600000,4.733976321824138,21.0
erYAN4MBGoM3uBpFrNQK,1,1,5,6,0.333333,0.500000,42.16040486373565,34.0
ESpx-4IB28LFeUkXEnzr,1,0,11,2,0.000000,0.285714,642.2138086220609,62.0
QfPqD4MB28LFeUkXhokx,1,0,5,6,0.166667,1.000000,0.0,103.0
fmXYHYMB28LFeUkXoGXu,1,0,3,8,0.000000,0.727273,24.10515339173011,81.0
Tb6z24IB28LFeUkXR1KR,1,0,5,7,0.714286,1.000000,0.0,32.0
w4131oABuqp2E9ofmiay,1,0,1,0,0.000000,0.000000,39.68622460400241,0.0
XmHP64EBuqp2E9ofVAUA,1,0,2,4,0.000000,1.000000,0.0,10.0
CSVNxYIBGoM3uBpF_JTv,1,1,6,7,0.285714,1.000000,0.0,56.0
2W15H4MB28LFeUkXwZkt,1,0,6,8,0.750000,1.000000,0.0,41.0
oAvl3YEBuqp2E9ofCFdQ,1,0,3,8,0.375000,1.000000,0.0,18.0
1yOxxIIBGoM3uBpFa5bv,1,1,4,3,0.333333,0.375000,161.59004071624926,50.0
a70pfYIBGoM3uBpFmDOr,1,1,4,9,0.000000,1.000000,0.0,42.0
T5pAX4MB28LFeUkXtvGu,1,1,1,7,0.000000,0.636364,195.8390542099829,0.0
YfF3wIMBGoM3uBpFkPeP,1,0,3,1,0.000000,0.333333,42.18965864361707,23.0
3VUJ0YMBu9aDgDX1bdUl,1,0,5,3,0.000000,0.750000,0.0,53.0
LNOz6YIB28LFeUkXH7g_,1,0,6,5,0.000000,1.000000,0.0,119.0
kiOfLoQBwWEOklUHy_vn,1,0,3,4,0.250000,0.800000,7.218511656921206,14.0
ejVcOYQBwWEOklUHKPBc,1,0,4,7,0.142857,1.000000,0.0,52.0
LPQ2YYIB8Tq1gs322QB4,1,0,2,1,0.000000,1.000000,0.0,20.0
qd2964IB28LFeUkXTovy,1,0,7,8,0.750000,1.000000,0.0,80.0
s57-jYMB28LFeUkX9lpq,1,0,1,1,1.000000,1.000000,0.0,5.0
8FLTaYIB8Tq1gs32Rprq,1,1,6,9,0.333333,0.818182,33.07661413688171,119.0
AEX8FoMB28LFeUkXJTCG,1,0,3,2,0.000000,0.666667,19.994836476827004,54.0
1G38gYMB28LFeUkXiTnU,1,0,3,5,0.000000,1.000000,0.0,29.0
oobvhYMB28LFeUkX_1jK,1,1,1,3,0.000000,0.272727,248.22515289151778,2.0
Cw-w238Boj1uvCUb8pzI,1,1,1,4,0.000000,0.363636,457.89927053979744,2.0
UlyJ_YMBGoM3uBpFlRwz,1,1,5,10,0.000000,1.000000,0.0,62.0
ERm0ZYIB8Tq1gs32-tbp,1,1,4,9,0.444444,1.000000,0.0,52.0
n0Ch_IIB28LFeUkXTUoy,1,0,5,5,0.000000,0.625000,176.91327641397626,74.0
PMYm4oIB28LFeUkX_rhY,1,0,7,9,0.000000,1.000000,0.0,91.0
xkpgj4IBGoM3uBpF2J1S,1,0,5,10,1.000000,1.000000,0.0,126.0
OfI-0X8Boj1uvCUbp-5u,1,0,1,0,0.000000,0.000000,1559.660968733207,14.0
GRD49YIB28LFeUkXV5NG,1,0,3,9,0.111111,1.000000,0.0,50.0
lPbD8IIB28LFeUkXnbU8,1,1,3,4,0.250000,0.444444,39.47634331982283,31.0
9B1sh4IBGoM3uBpFOj1S,1,1,1,8,0.000000,0.800000,142.52179528996226,0.0
e_Vy8IIB28LFeUkXbBFh,1,1,2,1,0.000000,1.000000,0.0,38.0
TjJFioIBGoM3uBpF1WbQ,1,0,1,3,0.000000,1.000000,0.0,3.0
ggNCvIIBGoM3uBpFcag5,1,1,5,6,0.500000,0.600000,40.09692924285501,114.0
iLutsYIBGoM3uBpFQYgR,1,0,7,6,1.000000,1.000000,0.0,111.0
4Vs61IMBu9aDgDX1wg7D,1,0,1,3,0.000000,0.750000,902.9616134771198,6.0
